DISCLAIMER AND TERMS OF USE: HISTORICAL DATA IS PROVIDED "AS IS" AND SOLELY
FOR INFORMATIONAL PURPOSES - NOT FOR TRADING PURPOSES OR ADVICE.
NEITHER MACROTRENDS LLC NOR ANY OF OUR INFORMATION PROVIDERS WILL BE LIABLE
FOR ANY DAMAGES RELATING TO YOUR USE OF THE DATA PROVIDED.

ATTRIBUTION: Proper attribution requires clear indication of the data source as "www.macrotrends.net".
A "dofollow" backlink to the originating page is also required if the data is displayed on a web page.

Date, GDP (Billions of US $), Per Capita (US $), Annual % Change
1990-12-31,12787.3629,,
1991-12-31,12196.4645,-4.62,
1992-12-31,12435.6472,1.96,
1993-12-31,12088.7721,-2.79,
1994-12-31,12323.3637,1.94,
1995-12-31,13220.6138,7.28,
1996-12-31,14572.8331,10.23,
1997-12-31,14160.5063,-2.83,
1998-12-31,13801.7939,-2.53,
1999-12-31,13835.2598,0.24,
2000-12-31,13640.7134,-1.41,
2001-12-31,15523.8707,13.81,
2002-12-31,15862.2824,2.18,
2003-12-31,8736.2792,-44.92,
2004-12-31,9318.2056,6.66,
2005-12-31,10725.3527,15.1,
2006-12-31,12545.1051,16.97,
2007-12-31,10799.2242,-13.92,
2008-12-31,19528.727,80.83,
2009-12-31,10454.7272,-46.46,
2010-12-31,20889.9427,99.81,
2011-12-31,25747.7098,23.25,
2012-12-31,13041.8544,-49.35,
2013-12-31,13990.227,7.27,
2014-12-31,12708.5857,-9.16,
2015-12-31,12082.9325,-4.92,
2016-12-31,10972.0965,-9.19,
2017-12-31,14735.6943,34.3,
2018-12-31,13322.3027,-9.59,
2019-12-31,10618.3762,-20.3,
2020-12-31,12374.764,16.54,
