Year,LST_Day
"Nov 8, 2004",42.847
"Nov 16, 2004",42.226
"Nov 24, 2004",44.664
"Dec 2, 2004",43.203
"Dec 10, 2004",37.124
"Dec 18, 2004",32.366
"Dec 26, 2004",37.718
"Jan 1, 2005",40.448
"Jan 9, 2005",38.311
"Jan 17, 2005",34.175
"Jan 25, 2005",36.218
"Feb 2, 2005",39.045
"Feb 10, 2005",38.673
"Feb 18, 2005",36.773
"Feb 26, 2005",35.913
"Mar 6, 2005",38.46
"Mar 14, 2005",34.217
"Mar 22, 2005",32.348
"Mar 30, 2005",29.611
"Apr 7, 2005",28.986
"Apr 15, 2005",27.784
"Apr 23, 2005",24.565
"May 1, 2005",27.007
"May 9, 2005",25.302
"May 17, 2005",25.94
"May 25, 2005",23.499
"Jun 2, 2005",24.898
"Jun 10, 2005",23.008
"Jun 18, 2005",22.874
"Jun 26, 2005",22.863
"Jul 4, 2005",21.295
"Jul 12, 2005",23.117
"Jul 20, 2005",26.036
"Jul 28, 2005",24.962
"Aug 5, 2005",26.59
"Aug 13, 2005",27.064
"Aug 21, 2005",29.325
"Aug 29, 2005",32.042
"Sep 6, 2005",35.689
"Sep 14, 2005",35.681
"Sep 22, 2005",37.454
"Sep 30, 2005",40.723
"Oct 8, 2005",41.051
"Oct 16, 2005",42.04
"Oct 24, 2005",42.577
"Nov 1, 2005",46.418
"Nov 9, 2005",44.791
"Nov 17, 2005",44.6
"Nov 25, 2005",32.2
"Dec 3, 2005",38.306
"Dec 11, 2005",39.361
"Dec 19, 2005",34.66
"Dec 27, 2005",37.586
"Jan 1, 2006",35.627
"Jan 9, 2006",28.083
"Jan 17, 2006",28.36
"Jan 25, 2006",32.068
"Feb 2, 2006",33.71
"Feb 10, 2006",27.258
"Feb 18, 2006",31.408
"Feb 26, 2006",28.929
"Mar 6, 2006",29.371
"Mar 14, 2006",28.459
"Mar 22, 2006",25.957
"Mar 30, 2006",26.855
"Apr 7, 2006",26.589
"Apr 15, 2006",26.293
"Apr 23, 2006",24.263
"May 1, 2006",21.981
"May 9, 2006",23.426
"May 17, 2006",20.803
"May 25, 2006",21.817
"Jun 2, 2006",21.317
"Jun 10, 2006",22.011
"Jun 18, 2006",20.02
"Jun 26, 2006",17.155
"Jul 4, 2006",20.606
"Jul 12, 2006",21.783
"Jul 20, 2006",23.003
"Jul 28, 2006",22.003
"Aug 5, 2006",23.953
"Aug 13, 2006",24.605
"Aug 21, 2006",24.373
"Aug 29, 2006",26.209
"Sep 6, 2006",30.357
"Sep 14, 2006",31.986
"Sep 22, 2006",35.211
"Sep 30, 2006",36.863
"Oct 8, 2006",36.589
"Oct 16, 2006",41.796
"Oct 24, 2006",42.707
"Nov 1, 2006",40.039
"Nov 9, 2006",41.002
"Nov 17, 2006",36.918
"Nov 25, 2006",40.126
"Dec 3, 2006",42.963
"Dec 11, 2006",41.508
"Dec 19, 2006",37.706
"Dec 27, 2006",31.941
"Jan 1, 2007",39.315
"Jan 9, 2007",40.647
"Jan 17, 2007",39.643
"Jan 25, 2007",38.897
"Feb 2, 2007",39.761
"Feb 10, 2007",40.02
"Feb 18, 2007",40.484
"Feb 26, 2007",39.546
"Mar 6, 2007",38.998
